protocol,chain,date,tvl_usd
aave,__all__,2024-03-03,10087535163
aave,__all__,2024-03-04,10296141939
aave,__all__,2024-03-05,10734348515
aave,__all__,2024-03-06,10472732032
aave,__all__,2024-03-07,11176466831
aave,__all__,2024-03-08,11302178237
aave,__all__,2024-03-09,11438314073
aave,__all__,2024-03-10,11513011474
aave,__all__,2024-03-11,11570263331
aave,__all__,2024-03-12,12111611704
aave,__all__,2024-03-13,11895889899
aave,__all__,2024-03-14,12067356450
aave,__all__,2024-03-15,11759625816
aave,__all__,2024-03-16,11439693078
aave,__all__,2024-03-17,10845670749
aave,__all__,2024-03-18,11141824892
aave,__all__,2024-03-19,10930140807
aave,__all__,2024-03-20,9836366100
aave,__all__,2024-03-21,10971748523
aave,__all__,2024-03-22,10566234014
aave,__all__,2024-03-23,10495645148
aave,__all__,2024-03-24,10615649864
aave,__all__,2024-03-25,10973392956
aave,__all__,2024-03-26,11570585683
aave,__all__,2024-03-27,11573324183
aave,__all__,2024-03-28,11233401037
aave,__all__,2024-03-29,11509494540
aave,__all__,2024-03-30,11241161958
aave,__all__,2024-03-31,11190122357
aave,__all__,2024-04-01,11668706414
aave,__all__,2024-04-02,11280548670
aave,__all__,2024-04-03,10535666374
aave,__all__,2024-04-04,10638988689
aave,__all__,2024-04-05,10726888248
aave,__all__,2024-04-06,10835774890
aave,__all__,2024-04-07,10972058231
aave,__all__,2024-04-08,11054129802
aave,__all__,2024-04-09,11868017526
aave,__all__,2024-04-10,11290665494
aave,__all__,2024-04-11,11518117545
aave,__all__,2024-04-12,11399042412
aave,__all__,2024-04-13,10568007674
aave,__all__,2024-04-14,9614379315
aave,__all__,2024-04-15,10330283276
aave,__all__,2024-04-16,10151722300
aave,__all__,2024-04-17,10235916287
aave,__all__,2024-04-18,10007060157
aave,__all__,2024-04-19,10188069868
aave,__all__,2024-04-20,10422859276
aave,__all__,2024-04-21,10618517067
aave,__all__,2024-04-22,10660819368
aave,__all__,2024-04-23,10872548196
aave,__all__,2024-04-24,10881450987
aave,__all__,2024-04-25,10611647879
aave,__all__,2024-04-26,10645478691
aave,__all__,2024-04-27,10609441917
aave,__all__,2024-04-28,10779427773
aave,__all__,2024-04-29,10897305122
aave,__all__,2024-04-30,10672423928
aave,__all__,2024-05-01,10117541950
aave,__all__,2024-05-02,9988376285
aave,__all__,2024-05-03,10155169278
aave,__all__,2024-05-04,10615157970
aave,__all__,2024-05-05,10681871051
aave,__all__,2024-05-06,10692789722
aave,__all__,2024-05-07,10537927736
aave,__all__,2024-05-08,10502938238
aave,__all__,2024-05-09,10358266885
aave,__all__,2024-05-10,10558592575
aave,__all__,2024-05-11,10283298749
aave,__all__,2024-05-12,10336065460
aave,__all__,2024-05-13,10370146933
aave,__all__,2024-05-14,10455089928
aave,__all__,2024-05-15,10252020145
aave,__all__,2024-05-16,10799426183
aave,__all__,2024-05-17,10640392924
aave,__all__,2024-05-18,11128685656
aave,__all__,2024-05-19,11213559567
aave,__all__,2024-05-20,11066682629
aave,__all__,2024-05-21,12555364816
aave,__all__,2024-05-22,12946405800
aave,__all__,2024-05-23,12985214843
aave,__all__,2024-05-24,13145980836
aave,__all__,2024-05-25,12893200380
aave,__all__,2024-05-26,12954678464
aave,__all__,2024-05-27,13196692936
aave,__all__,2024-05-28,13360792204
aave,__all__,2024-05-29,13179289285
aave,__all__,2024-05-30,12889729307
aave,__all__,2024-05-31,12871534888
aave,__all__,2024-06-01,12979549530
aave,__all__,2024-06-02,13071190458
aave,__all__,2024-06-03,12984812035
aave,__all__,2024-06-04,12908703632
aave,__all__,2024-06-05,13175000709
aave,__all__,2024-06-06,13301092019
aave,__all__,2024-06-07,13132776019
aave,__all__,2024-06-08,12873009377
aave,__all__,2024-06-09,12885879867
aave,__all__,2024-06-10,12989921084
aave,__all__,2024-06-11,12867180537
aave,__all__,2024-06-12,12366870144
aave,__all__,2024-06-13,12592609867
aave,__all__,2024-06-14,12330974177
aave,__all__,2024-06-15,12300073680
aave,__all__,2024-06-16,12485925101
aave,__all__,2024-06-17,12579467617
aave,__all__,2024-06-18,12372261017
aave,__all__,2024-06-19,12200394608
aave,__all__,2024-06-20,12427621113
aave,__all__,2024-06-21,12382047437
aave,__all__,2024-06-22,12628493507
aave,__all__,2024-06-23,12582430712
aave,__all__,2024-06-24,12346304272
aave,__all__,2024-06-25,12043159066
aave,__all__,2024-06-26,12282120845
aave,__all__,2024-06-27,12279982821
aave,__all__,2024-06-28,12467774530
aave,__all__,2024-06-29,12265633831
aave,__all__,2024-06-30,12343121376
aave,__all__,2024-07-01,12460752781
aave,__all__,2024-07-02,12640318758
aave,__all__,2024-07-03,12517800683
aave,__all__,2024-07-04,12139979747
aave,__all__,2024-07-05,11687652280
aave,__all__,2024-07-06,11373872288
aave,__all__,2024-07-07,11627894786
aave,__all__,2024-07-08,11302835458
aave,__all__,2024-07-09,11625538689
aave,__all__,2024-07-10,11804086398
aave,__all__,2024-07-11,11869326710
aave,__all__,2024-07-12,11924163439
aave,__all__,2024-07-13,11976173248
aave,__all__,2024-07-14,12107073591
aave,__all__,2024-07-15,12500261263
aave,__all__,2024-07-16,13088584390
